id,title,flavor
201,盗電,誰しもそれが必要だ。だが俺たちはもっと必要なのだ。
107,メディア・アーカイブ,過去の出来事の情報にアクセスし、よりよき未来を計画。
5,生命探査,自生する生命形態の発見は、歴史上の偉業となることだろう。さあ探せ！
126,温室効果ガス工場,温室効果ガスを迅速に合成して大気に放つ施設。
83,巨大宇宙競,数キロメートルの太陽光を反射させ、地上の発電所へと集約する。
7,火星鉄道,物資と人々のための手軽な高速移動手段。
177,水分解プラント,水の電気分解は酸素と水素を生み出す。どちらも有益な期待だ。
19,水素の輸入,軽量だが高価かつ欠かせない元素。
113,太陽光発電,おそらく火星における最も普遍的なエネルギー源。
198,移民シャトル,この新世界は、かつてより多くの移民の関心を集めている。
70,地球カタパルト,地球からの輸出が楽になると、全てのコストが削減される。
101,鉄工所,火星の土壌を電気分解すると、鉄と酸素が遊離する。どちらもテラフォーミングには欠かせないものだ。
200,移民都市,移民の世話をするのは高くつく。しかし彼らが広がりゆく社会のために働くようになれば、そのぶんは回収できるようになるだろう。
11,大型小惑星,落下しても広大なる無人地帯なら・・・
31,最適化された空力ブレーキ,弾道計算と物性解析の手法を完璧にすることで、効果はまし、支出を節約できる。
204,テクノロジーのデモンストレーション,新規の技術とか、宇宙用のハードウェアとか、いろいろ試してみるのだ。
189,省エネルギー対策,都市部でのエネルギー消費を最小化。
197,テラフォーミング・ガニメデ,火星で終わる必要はないじゃないか。
140,溶岩流,火星の天を摩す巨大な山のひとつより、多量の溶岩を噴出させる。
104,鉱石処理場,鉱石を処理せよ。
36,不活性ガスの解法,大気圧を高めるには、窒素その他の不活性ガスが必要です。ああ、ヘリウムは吸わないほうがいいですよ。
52,魚類,火星産のオニカマスだと？そりゃすごい！
125,ハッカー集団,非倫理的、非合法、かつ非常に有効。
51,ミランダ・リゾート,太陽系で最も落差のある地形、ヴェローナ断崖にある観光施設。スリルを求める地球の富裕層に人気のスポット。
116,人造湖,景色の造形はテラフォーミングなみに骨が折れる。
76,宇宙競,極度に薄い鏡が太陽光を反射し、地表へと送り込む。
134,極寒菌,他の生命体と共生関係を築くことができる適応株。
145,地殻応力発電,地震予知が可能になってからというもの、事前にその強大なエネルギーを利用できるようになるのも、単に時間の問題だった。
139,波力発電,そうか、まずは波に乗ることが必要なんだな・・・
91,遺伝子修復,避けられない宇宙放射線のダメージを除去し、いくつかの老化現象を逆転させる。
16,大クレーター・ドーム,大都市に最適な広大なるエリア。
202,地下核実験施設,核爆発の放射性は遮蔽された。しかし、我々はその熱をまだ獲得し続けている。
115,人工光合成,人工光合成は2021年、エイカーマーク教授らによって化学的に達成された。テラフォーミングへの適用が待望されている。
15,赤道磁化,超電導ワイヤを巻きつけ、磁界を発生。
131,分解者,生命体の死骸の分解は、土壌の環境維持に不可欠。
157,脱窒菌,土中の硝酸塩を使って、窒素を大気に解放。
22,極地への黒塵散布,散布された塵は太陽熱を吸収する。とはいえ降雪のたびに、やり直さなくてはならないだろう。
96,温室効果ガス工場,生物学の研究と実験が行われる場所。
188,洪水,津波だ！気をつけろ！
4,人工雲,陽射しを遮るが、植物の発育は促進される。
191,永久凍土解放,氷結した凍土を融かすんだ。
2,小惑星採掘組合,手放せないチタン市場への足がかり。
48,改良型地衣類,テラフォーミング初期の段階でも適応。
39,ダイモス落とし,もともと使い道のない衛星だったからね。
88,ヒース,土壌を安定させる。
178,放熱トラッパー,温度勾配を利用した発電。
75,彗星曳航,空力ブレーキによって、衝突させずにその組成物質だけを確保できる。
86,ロボット作業員,生産能力を拡張。
160,電力供給組合,エネルギー市場の独占によって、敵対的買収も可能。
64,採掘地帯,既に活動拠点があるなら、確保するのも簡単だ。
168,風力発電,ついにより価値の高い風を手に入れた。
112,委員会買収,権力者を動かせ。
56,マグネシウム鉱山,火星の主要輸出産業は、火星自身に対しても建築資材を提供している。
143,大輸送船団,地球からの大量輸送。
137,カルテル,兄弟のようなものさ。
196,ラグランジュ観測所,惑星から遠く離れた静止軌道では、極めて貴重な観測が可能なのだ。
8,首都,理想的な配置と全施設から鑑みて、ここは火星の真の首都である。
89,過酸化物発電,火星の大地は酸化剤に満ちている。
132,核融合発電,最先端技術。
79,量子抽出器,宇宙の抗生物質を捕らえよ。
68,スポンサー,きみのプロジェクトを支援しようじゃないか。
199,立ち入り制限区,秘密研究に従事している地域。不適切な人物の侵入(もしくは脱出)を許さない。
1,開拓民訓練キャンプ,木星の衛星開発のための準備。
138,露天鉱床,地表を掘りぬくのは必ずしも環境に良いわけではないが、利益を生み出す。
72,鳥類,天空に生命を。
167,改良型温室効果ガスの輸入,より効果の高い温室効果ガス。
118,農場,ちゃんとした食糧生産法を、ついに確立できた。これでやっと、迅速な人口増加が見込めるのだ。
66,所有権主張,戦略拠点を押さえろ。
43,炭化プロセス,一般的な鉱物は、温室効果を高める二酸化炭素を発生させる。
95,物理学総合研究所,スーパーコンデンサの開発以前は、たびたび停電が発生していた。
158,産業用バクテリア,細菌をプログラムし、燃料生成や金属精錬を実行。
32,地下都市,採掘は高くつくが、防護と建築資材の両方が手に入る。
